Date,Open,High,Low,Close,Volume,Adj Close
2011-03-03,132.89999,134.11,132.89,133.92,2047900,122.92861
2011-03-02,131.25,132.30,131.10001,131.64999,2271900,120.84492
2011-03-01,134.14999,134.21001,131.42,131.44,3912400,120.65216
2011-02-28,133.33,133.80,132.89,133.62,3736500,122.65323
2011-02-25,131.99001,132.91,131.89,132.78,2071100,121.88217
2011-02-24,131.35001,131.92,130.19,131.44,3808400,120.65216
2011-02-23,132.25,132.55,130.70,131.52,4305900,120.72559
2011-02-22,133.61,134.35001,131.97,132.35001,3829300,121.48747
2011-02-18,134.87,135.17999,134.55,135.03999,2188500,123.95668
2011-02-17,133.96001,134.91,133.84,134.75999,3321200,123.69966
2011-02-16,133.98,134.50999,133.69,134.31,3856200,123.2866
2011-02-15,133.52,133.84,133.16,133.50,2257500,122.54308
2011-02-14,133.55,134.02,133.39,133.91,1477800,122.91943
2011-02-11,132.32001,133.78,132.25999,133.60001,2371800,122.63488
2011-02-10,132.09,132.94,131.80,132.82001,2108000,121.9189
2011-02-09,132.64,133.12,132.11,132.75999,2783400,121.86382
2011-02-08,132.57001,133.14,132.24001,133.10001,2618400,122.17592
2011-02-07,131.95,132.89,131.94,132.46001,1884900,121.58845
2011-02-04,131.33,131.69,130.72,131.63,2183100,120.82657
2011-02-03,130.74001,131.46001,130.06,131.25,2514900,120.47775
2011-02-02,130.89999,131.32001,130.81,130.98,2697100,120.2299
2011-02-01,129.94,131.46001,129.89,131.24001,3190700,120.46857
2011-01-31,128.56,129.27,128.24001,129.14999,3921100,118.5501
2011-01-28,130.64999,130.83,128.00,128.14,5051900,117.623
2011-01-27,130.22,130.69,129.97,130.52,3347000,119.80767
2011-01-26,129.95,130.55,129.71001,130.21001,2919000,119.52312
2011-01-25,129.25,129.80,128.60001,129.59,6585300,118.95399
2011-01-24,128.75999,129.74001,128.75999,129.61,3211900,118.97235
2011-01-21,129.36,129.64999,128.72,128.85001,2188800,118.27473
2011-01-20,128.45,128.86,127.63,128.57001,3405300,118.01772
2011-01-19,129.89,129.98,128.39,128.73,4819300,118.16457
